IAGA,GEOLON,GEOLAT,AACGMLON,AACGMLAT,STATION-NAME
SON,66.44,25.12,138.91,19.49,Sonmiani
AMU,210.1,61.2,-95.43,61.17,Anchorage
YKC,245.52,62.48,-59.64,69.53,Yellowknife
CBB,255,69.1,-51.61,77.22,Cambridge Bay
RES,265.11,74.69,-41.38,83.29,Resolute Bay
BLC,263.97,64.33,-32.99,74.05,Baker Lake
MEA,246.65,54.62,-54.4,62.1,Meanook
SIT,224.67,57.07,-79.93,59.93,Sitka
PBQ,282.26,55.28,-1.13,65.83,Poste de la Baleine
MEK,30.97,62.77,108.45,58.9,Mekrijaervi
STJ,307.32,47.6,31.24,53.68,St Johns
ALE,297.5,82.5,100.15,87.2,Alert
LRV,338.3,64.18,67.25,64.85,Leirvogur
BOU,254.77,40.13,-40.5,49.13,Boulder
FRN,240.3,37.1,-56.46,43.02,Fresno
VIC,236.58,48.52,-63.97,53.83,Victoria
NEW,242.88,48.27,-56.8,54.92,Newport
LOV,17.83,59.35,96.06,55.74,Lovo
LER,358.82,60.13,81.15,57.85,Lerwick
VAL,349.75,51.93,70.52,49.81,Valentia
HAD,355.52,50.98,74.79,48.12,Hartland
ESK,356.8,55.32,77.39,52.86,Eskdalemuir
MAB,5.68,50.3,82.81,46.66,Manhay
DOU,4.6,50.1,81.86,46.48,Dourbes
BFE,11.67,55.62,89.54,52.14,Brorfelde
CLF,2.27,48.02,79.35,44.12,Chambon la foret
OTT,284.45,45.4,1.21,55.93,Ottawa
WNG,9.07,53.75,86.73,50.29,Wingst
VRE,292.38,-17.28,3.22,-4.89,Villa Remedios
SHE,354.27,-15.95,62.56,-22.89,St. Helena
SMA,334.87,36.99,55.27,31.82,Santa Maria/Azoren
PNL,303.82,16.68,22.45,22.62,Pantanal
THY,17.54,46.9,92.02,42.49,Tihany
BEL,20.8,51.83,96.09,47.84,Belsk
FUR,11.28,48.17,86.91,44.01,Furstenfeldbruk
NGK,12.68,52.07,89.2,48.33,Niemegk
BDV,14.02,49.07,89.49,44.99,Budkov
FRD,282.63,38.2,-2.13,49.08,Fredericksburg
CRP,275.09,10.44,-13.98,21.88,Chiripa
HYB,78.6,17.4,150.86,10.37,Hyderabad
IPM,250.58,-27.2,-33.24,-19.83,Isla de Pascua
KMH,18.11,-26.54,84.8,-36.72,Keetmanshoop
NMP,39.25,-15.09,109.77,-25.18,Nampula
DED,211.21,70.36,-101.79,70.57,Deadhorse
KEP,323.51,-54.28,25,-44.07,King Edward Point
CDP,256.3,31,-37.26,40.09,Chengdu
DMC,235.83,-75.25,-15.83,-65.18,Dome Concordia
LON,16.66,45.41,90.92,40.72,Lonjsko Polje
SPG,29.72,60.54,106.51,56.62,Saint Petersburg
TAB,291.18,76.54,28.31,84.53,Thule Air Base
ROE,8.55,55.17,86.8,51.83,Roemoe
THL,290.77,77.47,30.94,85.35,Qaanag
SVS,294.9,76.02,34.33,83.61,Savissivik
KUV,302.82,74.57,43.51,81.2,Kullorsuaq
UPN,303.85,72.78,41.35,79.45,Upernavik
UMQ,307.87,70.68,43.52,76.84,Uummannaq
GDH,306.47,69.25,40.09,75.73,Godhavn
ATU,306.43,67.93,38.76,74.47,Attu
STF,309.28,67.02,41.46,73.06,Kangerlussuaq
SKT,307.1,65.42,37.63,71.89,Maniitsoq
GHB,308.27,64.17,38.22,70.43,Nuuk
FHB,310.32,62,39.35,67.82,Paamiut
NAQ,314.56,61.16,43.54,66.08,Narssarssuaq
NRD,343.33,81.6,104.81,81.11,Nord
DMH,341.37,76.77,86.17,77.3,Danmarkshavn
DNB,339.78,74.3,79.74,75.15,Daneborg
SCO,338.03,70.48,72.73,71.56,Ittoqqortoormiit
AMK,322.37,65.6,54.24,69.15,Tasiilaq
MCN,322.38,73.93,64.54,77.42,Magic1 north
MCE,326.1,72.4,65.25,75.35,Magic1 east
MCW,317.41,72,56.25,76.43,Magic1 west
MCG,321.65,72.6,61.44,76.28,Magic2 GISP
MCR,313.71,66.48,46.07,71.69,Magic2 Raven
TDC,347.69,-37.1,48.53,-39.13,Tristan de Cunha
SUM,321.7,72.3,61,75.99,Summit
HOV,353.2,61.5,77.47,59.91,Faroe Island
GIM,265.36,56.38,-28.33,66.78,Gillam
TAL,266.45,69.54,-31.56,78.95,Taloyoak
CNL,248.75,65.75,-57.69,73.18,Contwoyto Lake
DAW,220.89,64.05,-87.68,66.14,Dawson City
EKP,265.95,61.11,-28.47,71.27,Eskimo Point
FCC,265.92,58.76,-27.93,69.08,Fort Churchill
FMC,248.79,56.66,-52.44,64.53,Fort McMurray
FSP,238.77,61.76,-67.48,67.51,Fort Simpson
SMI,248.05,60.02,-54.92,67.66,Fort Smith
ISL,265.34,53.86,-27.93,64.37,Island Lake
PIN,263.96,50.2,-29.49,60.67,Pinawa
RAL,256.32,58.22,-42.61,67.38,Rabbit Lake
RAN,267.89,62.82,-25.67,73,Rankine Inlet
NOR,25.79,71.09,109.43,67.7,Nordkapp
NAL,11.95,78.92,111.27,76.25,New Aalesund
LYR,15.83,78.2,112.12,75.31,Longyearbyen
JAN,351.3,70.9,83.5,70.22,Jan Mayen
HOP,25.01,76.51,115.24,73.13,Hopen Island
BJN,19.2,74.5,108.24,71.5,Bear Island
SOR,22.22,70.54,106.21,67.3,Soeroeya
TRO,18.94,69.66,102.95,66.55,Tromso
AND,16.03,69.3,100.42,66.34,Andenes
JCK,16.98,66.4,99.02,63.22,Jaeckvik
DON,12.5,66.11,95.33,63.17,Doenna
RVK,10.99,64.94,93.4,62.02,Roervik
DOB,9.11,62.07,90.28,59.08,Dombas
SOL,4.84,61.08,86.39,58.34,Solund
KAR,5.24,59.21,85.79,56.32,Karmoey 
HRN,15.6,77,109.62,74.19,Hornsund
ALT,22.96,69.86,106.2,66.56,Alta
KEV,27.01,69.76,109.27,66.28,Kevo
MAS,23.7,69.46,106.46,66.11,Masi
KIL,20.79,69.02,103.85,65.78,Kilpisjarvi
KAU,23.05,69.02,105.61,65.68,Kautokeino
IVA,27.29,68.56,108.61,65.03,Ivalo
ABK,18.82,68.35,101.82,65.18,Abisko
LEK,13.54,68.13,97.58,65.25,Leknes
MUO,23.53,68.02,105.26,64.61,Muonio
LOZ,35.08,67.97,114.51,64.19,Lovozero
KIR,20.42,67.84,102.69,64.56,Kiruna
SOD,26.63,67.37,107.29,63.81,Sodankyla
PEL,24.08,66.9,104.95,63.42,Pello
LYC,18.75,64.61,99.33,61.23,Lycksele
OUJ,27.23,64.52,106.15,60.82,Oulujarvi
HAN,26.65,62.3,104.63,58.51,Hankasalmi
NUR,24.65,60.5,102.2,56.7,Nurmajarvi
UPS,17.35,59.9,95.9,56.34,Uppsala
